ts	phase	decision	why	evidence	result
2026-09-01T01:14:22Z	dependencies	Upgrade the hub to the newest compatible, release-policy-cleared dependency set and pnpm 10.34.5	TypeScript 7 violates the current typescript-eslint peer range; pnpm 11 changes build-script policy; typescript-eslint 8.69.0 was inside the repository release-age window	pnpm outdated; peer-resolution install attempts; frozen pnpm 10.34.5 install	Convex 1.45.0, ESLint 10.9.1, TypeScript 6.0.3, Vitest 4.1.11, and related packages installed with a reproducible lockfile
2026-09-01T01:14:22Z	dependencies	Update pinned CI actions after resolving immutable upstream tags	Action tags were checked against upstream git refs	checkout v7.0.1 and paths-filter v4.0.3 now use full commit SHAs
2026-09-01T01:14:22Z	compatibility	Add explicit Node types and preserve validation error causes	TypeScript 6 stopped implicitly loading the expected Node declarations; Convex ESLint 4 requires rethrows to retain their cause	hub lint/typecheck failure output and focused http_body test	Typecheck passes and callers retain the original parsing error as cause
2026-09-01T01:14:22Z	seams	Consume Steam roots and manifests as newline-delimited records	Command-substitution for-loops split valid library and game paths at spaces	new Steam Root/Games Drive/Game With Spaces Bats regression	Discovery, preflight cache lookup, disk checks, and callbacks preserve path boundaries
2026-09-01T01:14:22Z	races	Require games-cache loader ownership before publishing or cleaning state	A stale background loader could overwrite a newer scan and remove its pidfile	controlled two-owner Bats regression	Only the current pidfile owner can publish cache lines or remove ownership
2026-09-01T01:14:22Z	determinism	Sort manifest callbacks under LC_ALL=C and isolate compositor detection tests	Locale and inherited live compositor variables made ordering and tests machine-dependent	focused Steam and hardware integration tests	Stable ordering and host-independent compositor assertions
2026-09-01T01:14:22Z	TUI	Give fzf argument builders explicit success returns and make screenshot fixtures isolated	False optional conditions leaked status 1 under set -e; captures read machine XDG state and live game data	set-e Bats regressions plus visual inspection of three regenerated PNGs	Menus open reliably and evidence frames use deterministic current UI content
2026-09-01T01:14:22Z	documentation	Edit the complete user-facing Markdown set for direct language and consistent punctuation	The request included an all-documentation unslop pass	rg scan across README, CHANGELOG, and docs/*.md; git diff review	Removed stock AI phrasing, ornamental em dashes, smart-quote inconsistency, and several run-on instructions
2026-09-01T01:14:22Z	validation	Run focused, package, security, visual, and repository-wide gates	Changes cross Bash, TypeScript, CI metadata, tests, and generated visual evidence	79 focused Bats tests; 110 Node tests; 33 Convex tests; pnpm audit; make check (160 integration and 788 unit tests)	All gates pass; registry reports no known vulnerabilities; all three regenerated TUI PNGs were visually inspected
2026-09-01T01:14:22Z	review	Raise the declared Node floor and toolchain pin to 22.13.0	Independent review found ESLint transitive engine requirements exceeded the repository's generic Node 22 declaration	gpt-5.5 lockfile and manifest review	Engine metadata, .node-version, README, architecture guide, and release runbook now agree
2026-09-01T01:55:14Z	dependencies	Keep the first-pass dependency set unchanged	A fresh registry query found only TypeScript 7 and typescript-eslint 8.69.0, which remain outside the compatible or release-age-cleared set	pnpm outdated --format json	No new compatible dependency update was available
2026-09-01T01:55:14Z	seams	Move per-game KEY=value updates into lib/config.sh	CLI and TUI had separate read-modify-write implementations	call-site search plus games and TUI tests	Both interfaces now use one adjacent-temp atomic writer
2026-09-01T01:55:14Z	races	Lock per-game config edits and launch-log rotation plus append	Concurrent config edits could lose different keys; shared launch.log.tmp rotation could overwrite another exit record	concurrent Bats regressions for two config keys and two launch events	flock serializes both critical sections; no-flock logging preserves records by skipping rotation
2026-09-01T01:55:14Z	TUI	Replace the empty main preview with a compact status dashboard and make quick-toggle evidence match colored production rows	The selected Status row lacked useful evidence and the first fixture grammar differed from the live colored UI	three regenerated PNGs inspected at original resolution	Main status, game preview, and toggle source states are legible and deterministic
2026-09-01T01:55:14Z	documentation	Repair the glyph legend and run a second prose scan	The first punctuation rewrite had corrupted the documented unavailable glyph; remaining curly apostrophes and several joined instructions survived	user-facing Markdown scan and targeted diff review	Exact TUI glyphs are restored and affected instructions use direct sentences
2026-09-01T01:55:14Z	validation	Repeat the full repository gate after second-pass code changes	Shared config writes and launch logging affect cross-interface and runtime behavior	make check (160 integration and 790 unit tests), focused 40-test seam/race suite, pnpm audit, dependency-pin and secret checks, git diff --check	All checks pass and the registry reports no known vulnerabilities
2026-09-01T02:04:00Z	dependencies	Keep the dependency set unchanged after a third registry query	Only the previously excluded TypeScript 7 and release-age-held typescript-eslint 8.69.0 remain newer	pnpm outdated --format json	No compatible policy-cleared update was available
2026-09-01T02:04:00Z	races	Route hub apply through a locked adjacent-file replacement and unique backups	Two applies in one second overwrote the same epoch-named backup, and direct redirection exposed a truncated destination during writes	red regression returned one backup; fixed regression returns two; focused 51-test suite	Rapid applies preserve both backups and readers see the old or complete new config
2026-09-01T02:04:00Z	TUI	Increase evidence-frame height for main and quick-toggle menus	Prior captures hid Quit and six toggle actions below the viewport while leaving most of the image empty	original-resolution inspection after direct VHS capture	Main shows all eight entries and quick toggles show all thirteen rows
2026-09-01T02:04:00Z	documentation	Document atomic hub apply and unique backups	The user-facing command reference did not state the new write and recovery behavior	docs/cli.md and docs/architecture.md diff review	CLI and architecture references match implementation
2026-09-01T02:04:00Z	validation	Run the full repository gate after the third-pass race and evidence changes	Hub apply now changes persistence semantics and the screenshot fixtures changed intentionally	make check (161 integration and 790 unit tests), focused 51-test suite, pnpm audit, dependency-pin and secret checks, git diff --check	All checks pass and the registry reports no known vulnerabilities
2026-09-01T15:27:09Z	dependencies	Keep the dependency set unchanged after a fourth registry query	Only release-age-held typescript-eslint 8.69.0 and peer-incompatible TypeScript 7 remain newer	pnpm outdated --format json	No compatible policy-cleared update is available
2026-09-01T15:27:09Z	races	Serialize completion manifest and shell-profile edits	Concurrent writes shared one temporary path, lost manifest keys, or appended duplicate profile blocks	two red concurrent Bats regressions followed by the focused 18-test completion suite	Per-file locks preserve both keys and one managed profile block; rewrites use unique adjacent temporary files
2026-09-01T15:27:09Z	TUI	Remove typed fixture commands from all TUI evidence frames	The shell command occupied the first line of every screenshot and competed with application content	three regenerated PNGs inspected at original resolution	All evidence frames now begin with LaunchLayer status or interface content
2026-09-01T15:27:09Z	documentation	Document completion-write ownership and clean remaining prose punctuation	Completion concurrency behavior was undocumented and several user-facing files retained joined sentences or decorative separators	documentation phrase scan and targeted diff review	Architecture and shipped template prose now match implementation and house style
2026-09-01T15:27:09Z	validation	Run the complete shell and hub gate after the fourth pass	Completion persistence and screenshot evidence changed across shell, docs, and generated images	make check-all (161 integration, 792 unit, 110 hub unit, and 33 Convex tests), pnpm audit, git diff --check	All checks pass and the registry reports no known vulnerabilities
2026-09-01T15:48:30Z	dependencies	Keep the dependency set unchanged after a fifth registry query	Only release-age-held typescript-eslint 8.69.0 and peer-incompatible TypeScript 7 remain newer	pnpm outdated --format json	No compatible policy-cleared update is available
2026-09-01T15:48:30Z	races	Serialize generated archive allocation and preserve same-second backups	Two backup processes resolved the same timestamped name and the second rename replaced the first	deterministic fixed-date regression launches two backup processes concurrently; focused 53-test backup suite	Both archives survive under the base name and a numeric-suffix name
2026-09-01T15:48:30Z	TUI	Test a compact evidence canvas, reject it, and retain the complete 900-pixel frames	Shorter frames hid Quit plus the clear and back toggle actions	three regenerated PNGs inspected at original resolution	Every documented main and quick-toggle action remains visible, and fixture commands remain hidden
2026-09-01T15:48:30Z	documentation	Document collision-safe archive naming and finish the prose punctuation sweep	The backup reference omitted same-second behavior and user-facing Markdown still joined separate instructions with semicolons	README, changelog, docs, and shipped-template phrase scan plus targeted diff review	Backup semantics match implementation and the scanned prose contains no banned filler, curly quotes, or joined semicolon clauses
2026-09-01T15:48:30Z	validation	Run the complete shell and hub gate after the fifth pass	Archive allocation changed a core backup workflow and the TUI evidence was regenerated	make check-all (161 integration, 792 unit, 110 hub unit, and 33 Convex tests), focused 53-test backup suite, pnpm audit, dependency-pin and secret checks, documentation phrase scan, git diff --check	All checks pass and the registry reports no known vulnerabilities
